date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:27	125/125	---M-Z	200	added ('OK')	text/plain	etag:%22ad-641e63acc2f9c-gzip%22	https://cashflowpositif.com/robots.txt		(from )
23:52:27	510478/510478	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2022:52:25%20GMT	https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/index2c14.html	(from )
23:52:27	332606/332606	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2002%20Dec%202025%2022:52:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/connect.facebook.net/en_US/fbevents.js	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:28	56336/56336	---M-Z	200	added ('OK')	text/css	etag:%22dc10-6407fda6ceb48-gzip%22	https://cashflowpositif.com/wp-content/plugins/gum-elementor-addon/css/style.css?ver=6.8.3	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/gum-elementor-addon/css/style32d4.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:28	45731/45731	---M-Z	200	added ('OK')	text/css	etag:%22b2a3-644ff205d0ea1-gzip%22	https://cashflowpositif.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.16	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/themes/astra/assets/css/minified/main.min9bfc.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:28	83015/83015	---M-Z	200	added ('OK')	text/css	etag:%2214447-643e57e8c40f7-gzip%22	https://cashflowpositif.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.7.0	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend4250.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:28	510270/510270	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2022:52:27%20GMT	https://cashflowpositif.com/	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/index.html	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:29	282034/282034	---M-Z	200	added ('OK')	text/css	etag:%2244db2-6414da56dead2-gzip%22	https://cashflowpositif.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=3.0.1	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main41fe.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:29	128944/128944	---M-Z	200	added ('OK')	text/css	etag:%221f7b0-6449a8ab8161f-gzip%22	https://cashflowpositif.com/wp-content/plugins/betterdocs/assets/blocks/category-slate-layout/default.css?ver=4.2.6	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/betterdocs/assets/blocks/category-slate-layout/default5462.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:29	767/767	---M-Z	200	added ('OK')	text/css	etag:%222ff-6427b6506a135-gzip%22	https://cashflowpositif.com/wp-content/plugins/page-builder-add/styles/admin-csm-menu-styles.css?ver=6.8.3	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/page-builder-add/styles/admin-csm-menu-styles32d4.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:29	276026/276026	---M-Z	200	added ('OK')	text/css	etag:%224363a-6407fd738cb93-gzip%22	https://cashflowpositif.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min.css?ver=1.14.3	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.minb171.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:29	985/985	---M-Z	200	added ('OK')	text/css	etag:%223d9-6407fd7390a13-gzip%22	https://cashflowpositif.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/peel/peel.css?ver=1.14.3	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/peel/peelb171.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:30	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-6444a136a4c10-gzip%22	https://cashflowpositif.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=1.0	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5152.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:30	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-6444a136a2cd0-gzip%22	https://cashflowpositif.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.0	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5152.css	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
23:52:30	768/768	---MC-	200	added ('OK')	application/rss+xml	etag:%228b7947f671c2473dee7151f2238d441a%22	https://cashflowpositif.com/comments/feed/	C:/Users/Amine%20Ghariani/OneDrive/Bureau/MiniApplication/CFP/CFP/cashflowpositif.com/comments/feed/index.html	(from https://cashflowpositif.com/?utm_source=instagram&utm_medium=social&utm_campaign=treelink)
